CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,
chr12,633065, YLR247C,IRC20 - Putative helicase; localizes to the mitochondrion and the nucleus; YLR247C is not an essential gene; null mutant displays increased levels of spontaneous Rad52p foci,,,,,,,,
chr12,634675, YLR248W,RCK2 - Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases,,,,,,,,
chr12,634698, YLR248W,RCK2 - Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases,,,,,,,,
chr12,635234, YLR248W,RCK2 - Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases,,,,,,,,
chr12,636551,NAG,NAG,,,,,,,,
chr12,641481, YLR251W,SYM1 - Protein required for ethanol metabolism; induced by heat shock and localized to the inner mitochondrial membrane; homologous to mammalian peroxisomal membrane protein Mpv17,,,,,,,,
chr12,645754, YLR255C, - Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data,,,,,,,
chr12,645780, YLR255C, - Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data,,,,,,,
chr12,649837, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,650212, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,650822, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,650829, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,650830, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,650831, YLR256W,HAP1 - Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,,,,,,,,
chr12,658599,NAG,NAG,,,,,,,,
chr12,659470, YLR257W, - Putative protein of unknown function,,,,,,,,
chr12,660194,NAG,NAG,,,,,,,,
chr12,661864, YLR258W,GSY2 - Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase,,,
chr12,668241, YLR261C,VPS63 - Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect,,,,,,,
chr12,668244, YLR261C,VPS63 - Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect,,,,,,,
chr12,668352, YLR261C,VPS63 - Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect,,,,,,,
chr12,672293, YLR263W,RED1 - Protein component of the synaptonemal complex axial elements, involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; interacts with Hop1p, Mec3p and Ddc1p,,,,,,
chr12,672355, YLR263W,RED1 - Protein component of the synaptonemal complex axial elements, involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; interacts with Hop1p, Mec3p and Ddc1p,,,,,,
chr12,672772, YLR263W,RED1 - Protein component of the synaptonemal complex axial elements, involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; interacts with Hop1p, Mec3p and Ddc1p,,,,,,
chr12,674079,NAG,NAG,,,,,,,,
chr12,675407, YLR265C,NEJ1 - Protein involved in regulation of nonhomologous end joining; interacts with DNA ligase IV components Dnl4p and Lif1p; repressed by MAT heterozygosity; regulates cellular distribution of Lif1p,,,,,,,,
chr12,677241, YLR266C,PDR8 - Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon,,,,,,
chr12,693876, YLR274W,MCM5 - Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase,,,,,,,
chr12,723168, YLR296W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr12,723175, YLR296W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr12,724909, YLR298C,YHC1 - Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site,,,,,,,
chr12,734915,NAG,NAG,,,,,,,,
chr12,752946, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,753045, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,753381, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755637, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755641, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755784, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755785, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755790, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755841, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755855, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755857, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,755928, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,756549, YLR310C,CDC25 - Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1,,,,,,,,
chr12,757478, YLR311C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr12,757873, YLR312C, - Putative protein of unknown function,,,,,,,,
chr12,787194, YLR329W,REC102 - Protein involved in early stages of meiotic recombination; required for chromosome synapsis; forms a complex with Rec104p and Spo11p necessary during the initiation of recombination,,,,,,,,
chr12,794669,NAG,NAG,,,,,,,,
chr12,80323,NAG,NAG,,,,,,,,
chr12,804694, YLR338W,OPI9 - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C,,,,,,,
chr12,807779, YLR341W,SPO77 - Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis,,,,,,,
chr12,81402,NAG,NAG,,,,,,,,
chr12,823338,NAG,NAG,,,,,,,,
chr12,833744,NAG,NAG,,,,,,,,
chr12,858040, YLR368W,###############################################################################################################################################################################################################################################################,,,,,,,,
chr12,860006, YLR369W,SSQ1 - Mitochondrial hsp70-type molecular chaperone, required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia,,,,,
chr12,868274, YLR372W,SUR4 - Elongase, involved in fatty acid and sphingolipid biosynthesis; synthesizes very long chain 20-26-carbon fatty acids from C18-CoA primers; involved in regulation of sphingolipid biosynthesis,,,,,,,
chr12,871029, YLR373C,VID22 - Glycosylated integral membrane protein localized to the plasma membrane; plays a role in fructose-1,6-bisphosphatase (FBPase) degradation; involved in FBPase transport from the cytosol to Vid (vacuole import and degradation) vesicles,,,,,,,
chr12,871981, YLR375W,STP3 - Zinc-finger protein of unknown function, possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids,,,,,,,
chr12,88193,NAG,NAG,,,,,,,,
chr12,884810,NAG,NAG,,,,,,,,
chr12,90370, YLL026W,HSP104 - Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation,,,,,
chr12,926537, YLR403W,SFP1 - Transcription factor that controls expression of ribosome biogenesis genes in response to nutrients and stress, regulates G2/M transitions during mitotic cell cycle and DNA-damage response, modulates cell size; regulated by TORC1 and Mrs6p,,,,,,
chr12,927434, YLR403W,SFP1 - Transcription factor that controls expression of ribosome biogenesis genes in response to nutrients and stress, regulates G2/M transitions during mitotic cell cycle and DNA-damage response, modulates cell size; regulated by TORC1 and Mrs6p,,,,,,
chr12,927464, YLR403W,SFP1 - Transcription factor that controls expression of ribosome biogenesis genes in response to nutrients and stress, regulates G2/M transitions during mitotic cell cycle and DNA-damage response, modulates cell size; regulated by TORC1 and Mrs6p,,,,,,
chr12,927603, YLR403W,SFP1 - Transcription factor that controls expression of ribosome biogenesis genes in response to nutrients and stress, regulates G2/M transitions during mitotic cell cycle and DNA-damage response, modulates cell size; regulated by TORC1 and Mrs6p,,,,,,
chr12,930419, YLR405W,DUS4 - Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus3p,,,,,
chr12,93415,NAG,NAG,,,,,,,,
chr12,936628, YLR409C,UTP21 - Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal subunit; synthetic defect with STI1 Hsp90 cochaperone; human homolog linked to glaucoma,,,,,,,,
chr12,984340, YLR425W,TUS1 - Guanine nucleotide exchange factor (GEF) that functions to modulate Rho1p activity as part of the cell integrity signaling pathway; multicopy suppressor of tor2 mutation and ypk1 ypk2 double mutation; potential Cdc28p substrate,,,,,,,,
chr13,10120,NAG,NAG,,,,,,,,
chr13,10131,NAG,NAG,,,,,,,,
chr13,10148,NAG,NAG,,,,,,,,
chr13,10479, YML131W, - Putative protein of unknown function with similarity to medium chain dehydrogenase/reductases; expression induced by stresses including osmotic shock, DNA damaging agents, and other chemicals; GFP-fusion protein localizes to the cytoplasm,,,,,,
chr13,112816, YML076C,WAR1 - Homodimeric Zn2Cys6 zinc finger transcription factor; binds to a weak acid response element to induce transcription of PDR12 and FUN34, encoding an acid transporter and a putative ammonia transporter, respectively,,,,,,
chr13,114669, YML076C,WAR1 - Homodimeric Zn2Cys6 zinc finger transcription factor; binds to a weak acid response element to induce transcription of PDR12 and FUN34, encoding an acid transporter and a putative ammonia transporter, respectively,,,,,,
chr13,12440, YML130C,ERO1 - Thiol oxidase required for oxidative protein folding in the endoplasmic reticulum,,,,,,,,
chr13,158396,NAG,NAG,,,,,,,,
chr13,176494, YML049C,RSE1 - Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport,,,,,,,,
chr13,178308,NAG,NAG,,,,,,,,
chr13,217976, YML029W,USA1 - Scaffold subunit of the Hrd1p ubiquitin ligase that also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p,,,,,,,
chr13,232832, YML020W, - Putative protein of unknown function,,,,,,,,
chr13,235023, YML018C, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of the vacuole; physical interaction with Atg27p suggests a possible role in autophagy; YML018C is not an essential gene,,,,,,,,
chr13,236652, YML017W,PSP2 - Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a conditional mutation in POL1 (DNA polymerase alpha); possible role in mitochondrial mRNA splicing,,,,,,,,
chr13,238788,NAG,NAG,,,,,,,,
chr13,238789,NAG,NAG,,,,,,,,
chr13,241854,NAG,NAG,,,,,,,,
chr13,24560, YML123C,PHO84 - High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,,,,,,,,
chr13,25111, YML123C,PHO84 - High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,,,,,,,,
chr13,25178, YML123C,PHO84 - High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,,,,,,,,
chr13,25233, YML123C,PHO84 - High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,,,,,,,,
chr13,25469, YML123C,PHO84 - High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,,,,,,,,
chr13,259188, tS(AGA)M, - tRNA-Ser,,,,,,,,
chr13,268705,NAG,NAG,,,,,,,,
chr13,271693,NAG,NAG,,,,,,,,
chr13,278590, YMR006C,PLB2 - Phospholipase B (lysophospholipase) involved in phospholipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine,,,,,,,,
chr13,308479, YMR017W,SPO20 - Meiosis-specific subunit of the t-SNARE complex, required for prospore membrane formation during sporulation; similar to but not functionally redundant with Sec9p; SNAP-25 homolog,,,,,,,
chr13,31178, YML119W, - Putative protein of unknown function; YML119W is not an essential gene; potential Cdc28p substrate,,,,,,,,
chr13,321328,NAG,NAG,,,,,,,,
chr13,325905, YMR027W, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene,,,,,,,,
chr13,326810, YMR027W, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene,,,,,,,,
chr13,348566,NAG,NAG,,,,,,,,
chr13,356311, YMR044W,IOC4 - Member of a complex (Isw1b) with Isw1p and Ioc2p that exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing, contains a PWWP motif,,,,,,,
chr13,367082, YMR048W,CSM3 - Replication fork associated factor, required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis,,,,,,,
chr13,369659, YMR049C,ERB1 - Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit; required for maturation of the 25S and 5.8S ribosomal RNAs; homologous to mammalian Bop1,,,,,,,
chr13,372652,NAG,NAG,,,,,,,,
chr13,387095,NAG,NAG,,,,,,,,
chr13,405653,NAG,NAG,,,,,,,,
chr13,406257,NAG,NAG,,,,,,,,
chr13,411379,NAG,NAG,,,,,,,,
chr13,413644,NAG,NAG,,,,,,,,
chr13,414724, YMR075W,RCO1 - Essential subunit of the histone deacetylase Rpd3S complex; interacts with Eaf3p,,,,,,,,
chr13,420948,NAG,NAG,,,,,,,,
chr13,42805, YML114C,TAF8 - TFIID subunit (65 kDa), involved in RNA polymerase II transcription initiation,,,,,,,
chr13,437392, YMR084W, - Putative protein of unknown function; YMR084W and adjacent ORF YMR085W are merged in related strains,,,,,,,,
chr13,438648, YMR085W, - Putative protein of unknown function; YMR085W and adjacent ORF YMR084W are merged in related strains,,,,,,,,
chr13,43944,NAG,NAG,,,,,,,,
chr13,443426, YMR088C,VBA1 - Permease of basic amino acids in the vacuolar membrane,,,,,,,,
chr13,46061,NAG,NAG,,,,,,,,
chr13,484091, YMR108W,ILV2 - Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control,,,,,,
chr13,48465, YML111W,BUL2 - Component of the Rsp5p E3-ubiquitin ligase complex, involved in intracellular amino acid permease sorting, functions in heat shock element mediated gene expression, essential for growth in stress conditions, functional homolog of BUL1,,,,
chr13,49898,NAG,NAG,,,,,,,,
chr13,511310,NAG,NAG,,,,,,,,
chr13,512087,NAG,NAG,,,,,,,,
chr13,51358,NAG,NAG,,,,,,,,
chr13,514090,NAG,NAG,,,,,,,,
chr13,52335, YML109W,ZDS2 - Protein with a role in regulating Swe1p-dependent polarized growth; interacts with Cdc55p; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p,,,,,,,,
chr13,524154, YMR128W,ECM16 - Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis,,,,,,
chr13,524617, YMR128W,ECM16 - Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis,,,,,,
chr13,527250, YMR128W,ECM16 - Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis,,,,,,
chr13,528895, YMR129W,POM152 - Nuclear pore membrane glycoprotein; may be involved in duplication of nuclear pores and nuclear pore complexes during S-phase;,,,,,,,,
chr13,53046, YML109W,ZDS2 - Protein with a role in regulating Swe1p-dependent polarized growth; interacts with Cdc55p; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p,,,,,,,,
chr13,533259, YMR131C,RRB1 - Essential nuclear protein involved in early steps of ribosome biogenesis; physically interacts with the ribosomal protein Rpl3p,,,,,,,,
chr13,53802, YML109W,ZDS2 - Protein with a role in regulating Swe1p-dependent polarized growth; interacts with Cdc55p; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p,,,,,,,,
chr13,53825, YML109W,ZDS2 - Protein with a role in regulating Swe1p-dependent polarized growth; interacts with Cdc55p; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p,,,,,,,,
chr13,538619,NAG,NAG,,,,,,,,
chr13,538627,NAG,NAG,,,,,,,,
chr13,539498, YMR135C,GID8 - Protein of unknown function, involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; contains LisH and CTLH domains, like Vid30p; dosage-dependent regulator of START,,,,,
chr13,540088, YMR135W-A, - Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data,,,,,,,
chr13,545936,NAG,NAG,,,,,,,,
chr13,547166, YMR139W,RIM11 - Protein kinase required for signal transduction during entry into meiosis; promotes the formation of the Ime1p-Ume6p complex by phosphorylating Ime1p and Ume6p; shares similarity with mammalian glycogen synthase kinase 3-beta,,,,,,,,
chr13,548836, YMR140W,SIP5 - Protein of unknown function; interacts with both the Reg1p/Glc7p phosphatase and the Snf1p kinase,,,,,,,,
chr13,555036, YMR145C,NDE1 - Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain,,,,,,,
chr13,555852, YMR145C,NDE1 - Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain,,,,,,,
chr13,559048,NAG,NAG,,,,,,,,
chr13,560261,NAG,NAG,,,,,,,,
chr13,560317,NAG,NAG,,,,,,,,
chr13,561510, YMR149W,SWP1 - Delta subunit of the oligosaccharyl transferase glycoprotein complex, which is required for N-linked glycosylation of proteins in the endoplasmic reticulum,,,,,,,
chr13,561877,NAG,NAG,,,,,,,,
chr13,563796, YMR152W,YIM1 - Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,,,,
chr13,565181, YMR153W,NUP53 - Subunit of the nuclear pore complex (NPC), interacts with karyopherin Kap121p or with Nup170p via overlapping regions of Nup53p, involved in activation of the spindle checkpoint mediated by the Mad1p-Mad2p complex,,,,,,
chr13,569867, YMR155W, - Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen,,,,,,,,
chr13,571024,NAG,NAG,,,,,,,,
chr13,571250,NAG,NAG,,,,,,,,
chr13,574866, YMR159C,ATG16 - Conserved protein that interacts with Atg12p-Atg5p conjugates to form Atg12p-Atg5p-Atg16p multimers, which localize to the pre-autophagosomal structure and are required for autophagy,,,,,,,
chr13,580121, YMR162C,DNF3 - Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; localizes to the trans-Golgi network; likely involved in protein transport; type 4 P-type ATPase,,,,,,,,
chr13,583969,NAG,NAG,,,,,,,,
chr13,584211,NAG,NAG,,,,,,,,
chr13,585173, YMR163C,INP2 - Peroxisome-specific receptor important for peroxisome inheritance; co-fractionates with peroxisome membranes and co-localizes with peroxisomes in vivo; physically interacts with the myosin V motor Myo2p; INP2 is not an essential gene,,,,,,,,
chr13,588567, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588588, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588621, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588627, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588630, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588661, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,588927, YMR164C,MSS11 - Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals,,,,,,,,
chr13,590322, YMR165C,PAH1 - Mg<sup>2+</sup>-dependent phosphatidate (PA) phosphatase, catalyzes the dephosphorylation of PA to yield diacylglycerol, responsible for de novo lipid synthesis and formation of lipid droplets; homologous to mammalian lipin 1,,,,,,
chr13,591204, YMR165C,PAH1 - Mg<sup>2+</sup>-dependent phosphatidate (PA) phosphatase, catalyzes the dephosphorylation of PA to yield diacylglycerol, responsible for de novo lipid synthesis and formation of lipid droplets; homologous to mammalian lipin 1,,,,,,
chr13,592784,NAG,NAG,,,,,,,,
chr13,605867,NAG,NAG,,,,,,,,
chr13,609388, YMR173W,DDR48 - DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS,,,,,,,
chr13,616358,NAG,NAG,,,,,,,,
chr13,619338,NAG,NAG,,,,,,,,
chr13,622233,NAG,NAG,,,,,,,,
chr13,62344,NAG,NAG,,,,,,,,
chr13,62439,NAG,NAG,,,,,,,,
chr13,625708,NAG,NAG,,,,,,,,
chr13,646855,NAG,NAG,,,,,,,,
chr13,667202,NAG,NAG,,,,,,,,
chr13,674886,NAG,NAG,,,,,,,,
chr13,683642,NAG,NAG,,,,,,,,
chr13,692578, YMR212C,EFR3 - Protein required for Stt4-containing phosphoinositide kinase patch assembly at the plasma membrane; exhibits synthetic lethal genetic interactions with PHO85; has sequence similarity to the Drosophila rolling blackout (RBO) gene,,,,,,,,
chr13,698679,NAG,NAG,,,,,,,,
chr13,732526, YMR230W,RPS10B - Protein component of the small (40S) ribosomal subunit; nearly identical to Rps10Ap and has similarity to rat ribosomal protein S10,,,,,,,,
chr13,748225,NAG,NAG,,,,,,,,
chr13,748227,NAG,NAG,,,,,,,,
chr13,752958,NAG,NAG,,,,,,,,
chr13,756824,NAG,NAG,,,,,,,,
chr13,774284,NAG,NAG,,,,,,,,
chr13,779986, YMR257C,PET111 - Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane,,,,,,,,
chr13,788138, YMR259C, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR259C is not an essential gene,,,,,,,,
chr13,792034, YMR261C,TPS3 - Regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway,,,,,,,
chr13,814661, YMR274C,RCE1 - Type II CAAX prenyl protease involved in the proteolysis and maturation of Ras and the a-factor mating pheromone,,,,,,,,
chr13,817667, YMR275C,BUL1 - Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex, functional homolog of Bul2p, disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases,,,,,
chr13,8592,NAG,NAG,,,,,,,,
chr13,862525, YMR297W,PRC1 - Vacuolar carboxypeptidase Y (proteinase C; CPY), broad-specificity C-terminal exopeptidase involved in non-specific protein degradation in the vacuole; member of the serine carboxypeptidase family,,,,,,,
chr13,8643,NAG,NAG,,,,,,,,
chr13,873018,NAG,NAG,,,,,,,,
chr13,882649, YMR306W,FKS3 - Protein involved in spore wall assembly, has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,,
chr13,897430, YMR311C,GLC8 - Regulatory subunit of protein phosphatase 1 (Glc7p), involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2,,,,,,,
chr13,897812, ARS1332, - Autonomously Replicating Sequence,,,,,,,,
